token,top_anchors
chear,"n_decorative_motifs(npmi=+0.33, n=10) | n_paragraphs(npmi=+0.30, n=9) | n_stars(npmi=+0.23, n=9)"
checkhey,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)"
checkhy,"n_nymphs(npmi=+0.55, n=13) | has_water(npmi=+0.53, n=13) | n_pools(npmi=+0.55, n=12)"
checthy,"n_nymphs(npmi=+0.52, n=9) | has_water(npmi=+0.50, n=9) | n_pools(npmi=+0.50, n=8)"
ched,"n_paragraphs(npmi=+0.48, n=7) | n_decorative_motifs(npmi=+0.47, n=7) | n_stars(npmi=+0.42, n=7)"
ched@222;,"n_paragraphs(npmi=+0.40, n=5) | n_decorative_motifs(npmi=+0.39, n=5) | n_stars(npmi=+0.34, n=5)"
chedaiin,"n_paragraphs(npmi=+0.56, n=10) | n_decorative_motifs(npmi=+0.54, n=10) | n_stars(npmi=+0.49, n=10)"
chedain,"n_paragraphs(npmi=+0.48, n=7) | n_decorative_motifs(npmi=+0.47, n=7) | n_stars(npmi=+0.42, n=7)"
chedal,"n_paragraphs(npmi=+0.60, n=10) | n_decorative_motifs(npmi=+0.59, n=10) | n_stars(npmi=+0.53, n=10)"
chedam,"n_paragraphs(npmi=+0.58, n=5) | n_decorative_motifs(npmi=+0.57, n=5) | n_stars(npmi=+0.52, n=5)"
chedar,"n_paragraphs(npmi=+0.52, n=9) | n_decorative_motifs(npmi=+0.51, n=9) | n_stars(npmi=+0.46, n=9)"
chedy,"n_paragraphs(npmi=+0.47, n=23) | n_decorative_motifs(npmi=+0.45, n=23) | n_stars(npmi=+0.43, n=25)"
chee@152;y,"has_human_figure(npmi=+0.39, n=7) | n_pipes(npmi=+0.46, n=5) | n_pools(npmi=+0.43, n=5)"
cheedaiin,"n_paragraphs(npmi=+0.44, n=3) | n_decorative_motifs(npmi=+0.43, n=3) | n_stars(npmi=+0.39, n=3)"
cheedy,"n_paragraphs(npmi=+0.46, n=11) | n_stars(npmi=+0.43, n=12) | n_decorative_motifs(npmi=+0.44, n=11)"
cheeey,"n_paragraphs(npmi=+0.41, n=4) | n_decorative_motifs(npmi=+0.40, n=4) | n_stars(npmi=+0.35, n=4)"
cheekey,"n_stars(npmi=+0.39, n=4) | n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3)"
cheeky,"n_nymphs(npmi=+0.51, n=10) | has_water(npmi=+0.50, n=10) | n_pools(npmi=+0.50, n=9)"
cheeo,"n_paragraphs(npmi=+0.75, n=13) | n_decorative_motifs(npmi=+0.73, n=13) | n_stars(npmi=+0.67, n=13)"
cheeody,"n_paragraphs(npmi=+0.45, n=4) | n_decorative_motifs(npmi=+0.44, n=4) | n_stars(npmi=+0.39, n=4)"
cheeol,"has_star_motif(npmi=+0.47, n=1) | n_containers(npmi=+0.29, n=2) | has_container(npmi=+0.26, n=2)"
cheeor,"n_plant_fragments(npmi=+0.41, n=5) | n_containers(npmi=+0.38, n=4) | has_container(npmi=+0.34, n=4)"
cheeos,"n_paragraphs(npmi=+0.49, n=4) | n_decorative_motifs(npmi=+0.48, n=4) | n_stars(npmi=+0.44, n=4)"
chees,"n_paragraphs(npmi=+0.25, n=8) | n_decorative_motifs(npmi=+0.24, n=8) | n_stars(npmi=+0.19, n=8)"
cheey,"n_paragraphs(npmi=+0.42, n=23) | n_decorative_motifs(npmi=+0.41, n=23) | n_stars(npmi=+0.38, n=25)"
chek,"has_spiral(npmi=+0.67, n=1) | has_central_star(npmi=+0.67, n=1) | spiral_turns(npmi=+0.67, n=1)"
chekaiin,"n_rows(npmi=+0.26, n=1) | n_human_figures(npmi=+0.18, n=1) | n_containers(npmi=+0.17, n=1)"
chekain,"n_decorative_motifs(npmi=+0.44, n=4) | n_paragraphs(npmi=+0.35, n=3) | n_stars(npmi=+0.30, n=3)"
chekal,"n_paragraphs(npmi=+0.21, n=3) | n_decorative_motifs(npmi=+0.20, n=3) | has_container(npmi=+0.21, n=2)"
chekar,"has_human_figure(npmi=+0.23, n=3) | n_pools(npmi=+0.25, n=2) | n_nymphs(npmi=+0.23, n=2)"
chekchy,"n_rays(npmi=+0.85, n=2) | has_sun_face(npmi=+0.62, n=1) | has_marginal_annotation(npmi=+0.54, n=1)"
chekeey,"n_plant_fragments(npmi=+0.49, n=3) | n_containers(npmi=+0.41, n=2) | has_sun_face(npmi=+0.58, n=1)"
chekey,"has_marginal_annotation(npmi=+0.47, n=1) | n_rays_or_petals(npmi=+0.41, n=1) | n_concentric_rings(npmi=+0.09, n=1)"
cheky,"n_stars(npmi=+0.25, n=13) | n_paragraphs(npmi=+0.26, n=11) | n_decorative_motifs(npmi=+0.24, n=11)"
cheo,"n_stars(npmi=+0.53, n=20) | n_paragraphs(npmi=+0.49, n=16) | n_decorative_motifs(npmi=+0.47, n=16)"
cheo@152;y,"has_central_star(npmi=+0.58, n=1) | n_concentric_rings(npmi=+0.25, n=3) | n_human_figures(npmi=+0.28, n=2)"
cheockhy,"n_labels(npmi=+0.28, n=5) | has_T_O_diagram(npmi=+0.59, n=1) | fragments_are_whole_plants(npmi=+0.47, n=1)"
cheocthy,"n_containers(npmi=+0.27, n=1) | has_container(npmi=+0.24, n=1) | n_plant_fragments(npmi=+0.23, n=1)"
cheodaiin,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_stars(npmi=+0.29, n=4)"
cheodain,"n_paragraphs(npmi=+0.49, n=4) | n_decorative_motifs(npmi=+0.48, n=4) | n_stars(npmi=+0.44, n=4)"
cheodal,"n_rows(npmi=+0.47, n=2) | n_containers(npmi=+0.37, n=2) | has_container(npmi=+0.34, n=2)"
cheody,"n_stars(npmi=+0.45, n=21) | n_paragraphs(npmi=+0.42, n=17) | n_decorative_motifs(npmi=+0.40, n=17)"
cheokeey,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
cheoky,"n_rows(npmi=+0.55, n=3) | n_containers(npmi=+0.43, n=3) | has_container(npmi=+0.40, n=3)"
cheol,"n_paragraphs(npmi=+0.37, n=22) | n_decorative_motifs(npmi=+0.35, n=22) | n_stars(npmi=+0.33, n=24)"
cheoldy,"has_human_figure(npmi=+0.23, n=2) | n_human_figures(npmi=+0.24, n=1) | n_pools(npmi=+0.18, n=1)"
cheom,"n_rows(npmi=+0.61, n=3) | n_containers(npmi=+0.50, n=3) | has_container(npmi=+0.47, n=3)"
cheor,"n_labels(npmi=+0.20, n=19) | n_plant_fragments(npmi=+0.24, n=9) | n_stars(npmi=+0.17, n=13)"
cheos,"n_paragraphs(npmi=+0.30, n=9) | n_decorative_motifs(npmi=+0.29, n=9) | n_stars(npmi=+0.23, n=9)"
cheoty,"n_stars(npmi=+0.44, n=4) | n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3)"
chepy,"n_rows(npmi=+0.26, n=1) | n_containers(npmi=+0.17, n=1) | has_container(npmi=+0.14, n=1)"
ches,"n_pools(npmi=+0.40, n=9) | has_human_figure(npmi=+0.33, n=12) | n_nymphs(npmi=+0.37, n=9)"
chetain,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
chetar,"n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3) | n_stars(npmi=+0.26, n=3)"
chetey,"n_petals(npmi=+0.67, n=1) | has_human_figure(npmi=+0.30, n=3) | n_pipes(npmi=+0.34, n=2)"
chety,"n_petals(npmi=+0.42, n=1) | has_star_motif(npmi=+0.29, n=1) | n_stars(npmi=+0.12, n=5)"
chey,"n_decorative_motifs(npmi=+0.28, n=24) | n_paragraphs(npmi=+0.27, n=23) | n_stars(npmi=+0.24, n=26)"
chkaiin,"n_paragraphs(npmi=+0.42, n=6) | n_decorative_motifs(npmi=+0.40, n=6) | n_stars(npmi=+0.36, n=6)"
chkain,"n_paragraphs(npmi=+0.42, n=6) | n_decorative_motifs(npmi=+0.40, n=6) | n_stars(npmi=+0.36, n=6)"
chkal,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)"
chkar,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)"
chkchy,"n_distinct_objects(npmi=+0.04, n=6)"
chke@152;y,"n_nymphs(npmi=+0.45, n=3) | has_water(npmi=+0.44, n=3) | has_human_figure(npmi=+0.34, n=3)"
chkeey,"n_rows(npmi=+0.35, n=2) | fragments_are_whole_plants(npmi=+0.43, n=1) | n_containers(npmi=+0.24, n=2)"
chkey,"n_petals(npmi=+0.62, n=1) | has_star_motif(npmi=+0.49, n=1) | n_labels(npmi=+0.23, n=4)"
chky,"has_moon_face(npmi=+0.49, n=1) | n_stars(npmi=+0.15, n=4) | has_marginal_annotation(npmi=+0.29, n=1)"
chl,"n_paragraphs(npmi=+0.41, n=9) | n_decorative_motifs(npmi=+0.39, n=9) | n_stars(npmi=+0.34, n=9)"
cho,"n_decorative_motifs(npmi=+0.25, n=13) | n_stars(npmi=+0.22, n=14) | n_paragraphs(npmi=+0.23, n=12)"
cho@152;y,"n_rows(npmi=+0.42, n=3) | n_plant_fragments(npmi=+0.35, n=4) | n_stars(npmi=+0.25, n=5)"
choaiin,"n_paragraphs(npmi=+0.23, n=2) | n_decorative_motifs(npmi=+0.23, n=2) | n_stars(npmi=+0.19, n=2)"
chochy,"n_distinct_objects(npmi=+0.04, n=5)"
chockhy,"n_paragraphs(npmi=+0.30, n=7) | n_decorative_motifs(npmi=+0.29, n=7) | n_plant_fragments(npmi=+0.31, n=5)"
chocphy,"has_moon_face(npmi=+0.70, n=1) | n_stars(npmi=+0.23, n=2) | n_containers(npmi=+0.23, n=1)"
chocthey,"n_containers(npmi=+0.46, n=2) | fragments_are_whole_plants(npmi=+0.62, n=1) | has_container(npmi=+0.43, n=2)"
chocthy,"n_decorative_motifs(npmi=+0.19, n=4) | has_marginal_annotation(npmi=+0.29, n=1) | n_paragraphs(npmi=+0.12, n=3)"
chod,"fragments_are_whole_plants(npmi=+0.49, n=1) | n_containers(npmi=+0.14, n=1) | has_container(npmi=+0.12, n=1)"
chodaiin,"n_decorative_motifs(npmi=+0.23, n=9) | n_visual_text_columns(npmi=+0.35, n=4) | n_flowers_visible(npmi=+0.35, n=3)"
chodain,"n_decorative_motifs(npmi=+0.44, n=5) | n_paragraphs(npmi=+0.37, n=4) | n_visual_text_columns(npmi=+0.47, n=2)"
chodal,"has_moon_face(npmi=+0.74, n=1) | n_stars(npmi=+0.39, n=3) | n_paragraphs(npmi=+0.32, n=2)"
chodar,"n_stars(npmi=+0.33, n=6) | n_paragraphs(npmi=+0.33, n=5) | n_decorative_motifs(npmi=+0.32, n=5)"
chody,"n_paragraphs(npmi=+0.21, n=12) | n_decorative_motifs(npmi=+0.19, n=12) | n_stars(npmi=+0.17, n=13)"
choiin,"n_distinct_objects(npmi=+0.05, n=10)"
chok,"has_moon_face(npmi=+0.70, n=1) | n_concentric_rings(npmi=+0.12, n=1) | has_radial_symmetry(npmi=+0.10, n=1)"
chokaiin,"n_paragraphs(npmi=+0.31, n=5) | n_decorative_motifs(npmi=+0.30, n=5) | n_stars(npmi=+0.25, n=5)"
chokain,"n_paragraphs(npmi=+0.42, n=5) | n_decorative_motifs(npmi=+0.41, n=5) | n_stars(npmi=+0.37, n=5)"
chokal,"n_stars(npmi=+0.32, n=4) | n_paragraphs(npmi=+0.28, n=3) | n_decorative_motifs(npmi=+0.27, n=3)"
chokar,"n_stars(npmi=+0.43, n=5) | n_paragraphs(npmi=+0.41, n=4) | n_decorative_motifs(npmi=+0.40, n=4)"
chokchy,"has_moon_face(npmi=+0.51, n=1) | n_stars(npmi=+0.10, n=3) | n_paragraphs(npmi=+0.05, n=2)"
chokeey,"n_stars(npmi=+0.38, n=6) | n_paragraphs(npmi=+0.37, n=5) | n_decorative_motifs(npmi=+0.36, n=5)"
chokey,"has_star_motif(npmi=+0.51, n=1) | n_stars(npmi=+0.26, n=3) | n_rays_or_petals(npmi=+0.39, n=1)"
chokol,"has_container(npmi=+0.51, n=3) | n_rows(npmi=+0.51, n=2) | has_moon_face(npmi=+0.70, n=1)"
chokor,"n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2) | n_stars(npmi=+0.23, n=2)"
choky,"n_containers(npmi=+0.32, n=6) | has_container(npmi=+0.28, n=6) | n_rays_or_petals(npmi=+0.38, n=3)"
chol,"n_decorative_motifs(npmi=+0.16, n=24) | n_paragraphs(npmi=+0.15, n=23) | n_stars(npmi=+0.12, n=26)"
chol@152;y,"n_containers(npmi=+0.46, n=2) | has_star_motif(npmi=+0.62, n=1) | has_container(npmi=+0.43, n=2)"
cholal,"has_moon_face(npmi=+0.70, n=1) | n_concentric_rings(npmi=+0.29, n=2) | has_radial_symmetry(npmi=+0.26, n=2)"
choldaiin,"has_star_motif(npmi=+0.54, n=1) | fragments_are_whole_plants(npmi=+0.54, n=1) | n_containers(npmi=+0.37, n=2)"
choldy,"has_central_object(npmi=+0.67, n=1) | n_human_figures(npmi=+0.21, n=1) | n_concentric_rings(npmi=+0.09, n=1)"
cholky,"n_paragraphs(npmi=+0.11, n=1) | n_decorative_motifs(npmi=+0.10, n=1) | n_stars(npmi=+0.07, n=1)"
cholody,"fragments_are_whole_plants(npmi=+0.58, n=1) | n_rows(npmi=+0.32, n=1) | n_containers(npmi=+0.23, n=1)"
choly,"n_rays_or_petals(npmi=+0.41, n=2) | has_container(npmi=+0.24, n=3) | has_star_motif(npmi=+0.36, n=1)"
chom,"branching_depth(npmi=+0.51, n=2) | n_leaves_visible(npmi=+0.47, n=2) | n_visual_text_columns(npmi=+0.43, n=2)"
chopchy,"n_human_figures(npmi=+0.29, n=1) | n_concentric_rings(npmi=+0.17, n=1) | n_paragraphs(npmi=+0.15, n=1)"
